,p,target,word
215,0.0021002581216608513,0,uniquely
216,0.9755480753155881,1,combine
217,0.024451924684411857,0,combine
218,0.9709911526916698,1,package
219,0.029008847308330147,0,package
220,0.987342851767057,1,couples
221,0.012657148232942911,0,couples
222,0.9835339106144474,1,bridal
223,0.016466089385552586,0,bridal
224,0.9551784758250766,1,packages
225,0.044821524174923424,0,packages
226,0.9817488328868674,1,forward
227,0.018251167113132682,0,forward
228,0.9718611690161076,1,copyright
229,0.0281388309838923,0,copyright
230,0.9703550523351242,1,all
231,0.029644947664875836,0,all
232,0.9621607011119898,1,receiving
233,0.037839298888010194,0,receiving
234,0.9653948517136778,1,up
235,0.03460514828632221,0,up
236,0.9938515580113069,1,notifications
237,0.006148441988693167,0,notifications
238,0.9827545266887736,1,special
239,0.017245473311226313,0,special
240,0.9848410871675838,1,our
241,0.015158912832416136,0,our
242,0.9752815137248282,1,address
243,0.02471848627517185,0,address
244,0.9402147511170678,1,ave
245,0.059785248882932206,0,ave
246,0.9706451219664773,1,suite
247,0.029354878033522634,0,suite
248,0.9504372419241779,1,wa
249,0.04956275807582215,0,wa
250,0.9803681496276266,1,change
251,0.0196318503723733,0,change
252,0.986503008533968,1,these
253,0.013496991466032022,0,these
254,0.9858152015893734,1,update
255,0.014184798410626613,0,update
256,0.9812027480606665,1,preferences
257,0.018797251939333435,0,preferences
258,0.9868435696080283,1,unsubscribe
259,0.013156430391971648,0,unsubscribe
260,0.9751385407213299,1,friend
261,0.024861459278670003,0,friend
262,0.9783422370807972,1,new
263,0.021657762919202815,0,new
264,0.9943627906357944,1,huibregtse
265,0.005637209364205694,0,huibregtse
266,0.9801977755655424,1,enter
267,0.019802224434457644,0,enter
268,0.9995155209996702,1,profiles
269,0.0004844790003298479,0,profiles
270,0.9979124441432817,1,hidden
271,0.0020875558567183157,0,hidden
272,0.9936282577654337,1,social
273,0.006371742234566348,0,social
274,0.9707363763416347,1,including
275,0.029263623658365347,0,including
276,0.9985397937721611,1,sites
277,0.00146020622783902,0,sites
278,0.9931813476892009,1,here
279,0.006818652310799261,0,here
280,1.0,1,advert
281,0.0,0,advert
282,0.9973567957126053,1,llc
283,0.0026432042873948073,0,llc
284,0.9981603560774452,1,ne
285,0.0018396439225547507,0,ne
286,0.9991917789462897,1,ste
287,0.0008082210537102478,0,ste
288,0.9916864853228602,1,usa
289,0.008313514677139823,0,usa
290,0.9965994727631079,1,dear
291,0.003400527236892051,0,dear
292,0.9860466763912714,1,we
293,0.013953323608728606,0,we
294,0.9921469560732209,1,found
295,0.007853043926779154,0,found
296,0.9993717247796696,1,matched
297,0.0006282752203304285,0,matched
298,0.9829135894533173,1,click
299,0.01708641054668269,0,click
300,0.9906178060541445,1,first
301,0.0093821939458556,0,first
302,0.9988124053786613,1,kent
303,0.0011875946213386849,0,kent
304,0.9757272943308554,1,please
305,0.024272705669144762,0,please
306,0.9950936504373622,1,complete
307,0.0049063495626376985,0,complete
308,0.990635923672791,1,information
309,0.009364076327209148,0,information
310,0.9919061944773143,1,end
311,0.008093805522685758,0,end
312,0.9766540180202771,1,may
313,0.023345981979722926,0,may
314,0.9744834656915312,1,thank
315,0.025516534308468772,0,thank
316,0.9998087021936932,1,kirby
317,0.00019129780630676075,0,kirby
318,1.0,1,listadvert
319,0.0,0,listadvert
320,0.9725527852923049,1,cannot
321,0.027447214707695143,0,cannot
322,0.982572084246347,1,learn
323,0.017427915753652913,0,learn
324,0.9941736433179974,1,simple
325,0.00582635668200255,0,simple
326,0.9992352476611074,1,loophole
327,0.0007647523388926486,0,loophole
328,0.9905447932780073,1,protect
329,0.009455206721992682,0,protect
330,0.9897736017001771,1,retirement
331,0.01022639829982279,0,retirement
332,0.9831242497450796,1,money
333,0.016875750254920434,0,money
334,0.9674477792268211,1,free
335,0.03255222077317882,0,free
336,0.9884243057351592,1,hey
337,0.01157569426484094,0,hey
338,0.9920096480686812,1,something
339,0.007990351931318872,0,something
340,0.9836510049805581,1,is
341,0.016348995019441887,0,is
342,0.9964917977023785,1,happen
343,0.0035082022976214914,0,happen
344,0.9801015400532137,1,i
345,0.019898459946786348,0,i
346,0.994427857934389,1,area
347,0.0055721420656109875,0,area
348,0.997372394878228,1,trust
349,0.0026276051217718997,0,trust
350,0.9845348630568155,1,by
351,0.015465136943184556,0,by
352,0.9968053869233204,1,chris
353,0.0031946130766795514,0,chris
354,0.9939550626696062,1,sending
355,0.006044937330393893,0,sending
356,0.9978324999806234,1,aware
357,0.00216750001937662,0,aware
358,0.9890093464336592,1,has
359,0.010990653566340818,0,has
360,0.9981189012808953,1,guaranteed
361,0.0018810987191046542,0,guaranteed
362,0.9932062654459926,1,line
363,0.006793734554007477,0,line
364,0.9902516234784764,1,credit
365,0.009748376521523655,0,credit
366,0.9672782356748972,1,at
367,0.03272176432510277,0,at
368,0.9991620880452149,1,claim
369,0.0008379119547850843,0,claim
370,0.9872350955134711,1,card
371,0.012764904486528852,0,card
372,0.9948510531267967,1,clicking
373,0.005148946873203316,0,clicking
374,1.0,1,millenium
375,0.0,0,millenium
376,1.0,1,albertine
377,0.0,0,albertine
378,0.9925428146715737,1,hi
379,0.007457185328426324,0,hi
380,0.9921640282204206,1,apple
381,0.007835971779579428,0,apple
382,0.9543500018068614,1,x
383,0.04564999819313869,0,x
384,0.9880373736968631,1,what
385,0.011962626303136938,0,what
386,0.983689336918802,1,before
387,0.016310663081197926,0,before
388,0.9972984258634188,1,too
389,0.0027015741365812034,0,too
390,0.9849915104992626,1,limited
391,0.015008489500737418,0,limited
392,0.9888981984968968,1,team
393,0.011101801503103196,0,team
394,0.984115951278658,1,take
395,0.015884048721341883,0,take
396,0.9994741070864378,1,walmart
397,0.0005258929135623378,0,walmart
398,0.9923526342743773,1,print
399,0.007647365725622844,0,print
400,0.9960992975097348,1,wait
401,0.0039007024902652115,0,wait
402,0.9997415068249722,1,deadline
403,0.00025849317502791273,0,deadline
404,0.9937974373986403,1,list
405,0.006202562601359612,0,list
406,0.9877160358947698,1,stop
407,0.012283964105230229,0,stop
408,1.0,1,relpy
409,0.0,0,relpy
410,0.9851044978233862,1,let
411,0.014895502176613767,0,let
412,0.9868084460222916,1,know
413,0.013191553977708525,0,know
414,1.0,1,thruth
